freq_hz,magnitude
4.382006835937500000e+03,8.033595343230684438e-21
4.392773437500000000e+03,7.916061512668808685e-21
4.403540039062500000e+03,7.800617140850338311e-21
4.414306640625000000e+03,7.687039468442802926e-21
4.425073242187500000e+03,7.575436720296270524e-21
4.435839843750000000e+03,7.465472577824288206e-21
4.446606445312500000e+03,7.357780189162169685e-21
4.457373046875000000e+03,7.251568247493438459e-21
4.468139648437500000e+03,7.147279674797496825e-21
4.478906250000000000e+03,7.044829186375532024e-21
4.489672851562500000e+03,6.943800008079611019e-21
4.500439453125000000e+03,6.844708253923249522e-21
4.511206054687500000e+03,6.747134349591707292e-21
4.521972656250000000e+03,6.651334688980261679e-21
4.532739257812500000e+03,6.556823287068271780e-21
4.543505859375000000e+03,6.464227860645547076e-21
4.554272460937500000e+03,6.372810713250209356e-21
4.565039062500000000e+03,6.283233099555970161e-21
4.575805664062500000e+03,6.194884832631403136e-21
4.586572265625000000e+03,6.108036059257800649e-21
4.597338867187500000e+03,6.022603881234320240e-21
4.608105468750000000e+03,5.938588771978257507e-21
4.618872070312500000e+03,5.855986398669711530e-21
4.629638671875000000e+03,5.774555074155882538e-21
4.640405273437500000e+03,5.694563605722380709e-21
4.651171875000000000e+03,5.615956777397567814e-21
4.661938476562500000e+03,5.538375860658402607e-21
4.672705078125000000e+03,5.462152269999945331e-21
4.683471679687500000e+03,5.387221290764878525e-21
4.694238281250000000e+03,5.313350276129803473e-21
4.705004882812500000e+03,5.240822357334050390e-21
4.715771484375000000e+03,5.169257017400000755e-21
4.726538085937500000e+03,5.099011537896698382e-21
4.737304687500000000e+03,5.029700818141166213e-21
4.748071289062500000e+03,4.961647705389451988e-21
4.758837890625000000e+03,4.894540003092537831e-21
4.769604492187500000e+03,4.828562795427456686e-21
4.780371093750000000e+03,4.763607419289241590e-21
4.791137695312500000e+03,4.699666597353683550e-21
4.801904296875000000e+03,4.636587308884185083e-21
4.812670898437500000e+03,4.574790158353966649e-21
4.823437500000000000e+03,4.513699255915605215e-21
4.834204101562500000e+03,4.453626046530321703e-21
4.844970703125000000e+03,4.394551351102256081e-21
4.855737304687500000e+03,4.336271353945756149e-21
4.866503906250000000e+03,4.278983818784989313e-21
4.877270507812500000e+03,4.222573035871415272e-21
4.888037109375000000e+03,4.166872762099877703e-21
4.898803710937500000e+03,4.112281416938472652e-21
