f1,f2,f3,f4
1.355987156124671174e+03,1.592527101216758865e+03,2.586650990709380494e+03,0.000000000000000000e+00
1.563500437002837316e+03,2.228874586114098747e+03,2.354042946040788593e+03,0.000000000000000000e+00
1.750127245887316576e+03,2.601696779676724418e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.608702403169115314e+03,2.490167103143852273e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.184350996723224171e+03,1.854813588951561087e+03,2.593959419109473401e+03,0.000000000000000000e+00
7.857132168326277224e+02,2.007969747387806819e+03,3.671302187198538377e+03,0.000000000000000000e+00
1.381106804859956810e+03,1.414509838319759865e+03,2.882870865599543322e+03,0.000000000000000000e+00
1.394028224669267274e+03,2.496080015689849006e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.377640276303085102e+03,2.534463907214267238e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.340373318153616083e+03,2.720379853630412981e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.244978368649509775e+03,2.591067045735511329e+03,0.000000000000000000e+00,0.000000000000000000e+00
9.335294845987820054e+02,3.544189633670855073e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.055455362166306941e+03,1.846147915225034922e+03,3.567542543811361611e+03,0.000000000000000000e+00
1.128763000586071485e+03,1.591976410700429369e+03,2.883624073689454235e+03,0.000000000000000000e+00
1.234139477131880312e+03,2.296301120427899150e+03,2.689302449518565936e+03,0.000000000000000000e+00
1.266676320015227702e+03,2.617476152632505091e+03,3.910367471101615592e+03,0.000000000000000000e+00
1.320829953202875686e+03,2.252493788995009709e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.433154733333558625e+03,1.488140560214232437e+03,2.469760402110239738e+03,0.000000000000000000e+00
7.982715782514887906e+02,2.087727731621272142e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.350660306051629050e+03,2.181277699296625542e+03,2.366283464882019416e+03,0.000000000000000000e+00
1.710583204380792267e+03,2.229166494755608710e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.450049863814871969e+03,1.757766862112984199e+03,2.070422973129120237e+03,0.000000000000000000e+00
9.421462246543790116e+02,1.865050089833473294e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.582545589670623258e+03,1.616387854354468573e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.815055264241677833e+03,1.976759250844739881e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.695635419670580859e+03,2.315577195748659960e+03,3.777105557492101070e+03,0.000000000000000000e+00
2.151248329850518985e+03,2.665983232974558177e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.051350281145217650e+03,2.553255297522474848e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.777682537374077583e+03,2.556680786429632008e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.865293840948802654e+03,2.475200653683330984e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.798152397574378256e+03,2.057170189369284799e+03,2.429360966458555595e+03,0.000000000000000000e+00
1.629187904464914027e+03,2.133070200155420025e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.603438976012618468e+03,1.866803292500575481e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.570279412094758982e+03,1.712585987960807643e+03,2.965367157185417909e+03,0.000000000000000000e+00
1.559659278548809652e+03,1.861306803305536278e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.535054776871339072e+03,2.082436588321662839e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.449545774439744264e+03,2.331655379873750007e+03,3.700463062782722318e+03,0.000000000000000000e+00
1.280727338494266405e+03,2.426964388755073742e+03,3.212146925633346655e+03,0.000000000000000000e+00
8.342285617736121139e+02,2.368201388063333980e+03,3.482270142008128005e+03,0.000000000000000000e+00
1.236470409212270397e+03,2.363409874751208008e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.213973908291432735e+03,2.428622245104654212e+03,2.469048693992484004e+03,0.000000000000000000e+00
1.471333512788989992e+03,2.331649664843957908e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.687069851163598742e+03,2.548617414305110742e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.131710960137728080e+03,2.045008827365200432e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.392883049221373085e+03,2.214011507117885685e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.627878418012006478e+03,2.287759140977513198e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.575030618418805489e+03,2.683202675979985997e+03,3.303109056254662391e+03,0.000000000000000000e+00
1.297201539871550722e+03,2.208087921707775422e+03,0.000000000000000000e+00,0.000000000000000000e+00
9.058173357765483615e+02,2.294785247816426363e+03,0.000000000000000000e+00,0.000000000000000000e+00
