time_s,freq_hz
1.365124716553288131e+01,1.291992187500000000e+02
1.365405895691610105e+01,1.291992187500000000e+02
1.365687074829932079e+01,1.291992187500000000e+02
1.365968253968254054e+01,1.291992187500000000e+02
1.366249433106576028e+01,1.291992187500000000e+02
1.366530612244898002e+01,1.291992187500000000e+02
1.366811791383219976e+01,1.291992187500000000e+02
1.367092970521541950e+01,1.291992187500000000e+02
1.367374149659863924e+01,1.291992187500000000e+02
1.367655328798186076e+01,1.291992187500000000e+02
1.367936507936508050e+01,1.291992187500000000e+02
1.368217687074830025e+01,1.722656250000000000e+02
1.368498866213151999e+01,1.291992187500000000e+02
1.368780045351473973e+01,1.291992187500000000e+02
1.369061224489795947e+01,1.291992187500000000e+02
1.369342403628117921e+01,1.291992187500000000e+02
1.369623582766439895e+01,1.291992187500000000e+02
1.369904761904762047e+01,1.291992187500000000e+02
1.370185941043084021e+01,8.613281250000000000e+01
1.370467120181405996e+01,8.613281250000000000e+01
1.370748299319727970e+01,1.291992187500000000e+02
1.371029478458049944e+01,1.291992187500000000e+02
1.371310657596371918e+01,1.291992187500000000e+02
1.371591836734693892e+01,1.291992187500000000e+02
1.371873015873015866e+01,1.291992187500000000e+02
1.372154195011338018e+01,1.291992187500000000e+02
1.372435374149659992e+01,1.291992187500000000e+02
1.372716553287981966e+01,1.291992187500000000e+02
1.372997732426303941e+01,1.291992187500000000e+02
1.373278911564625915e+01,1.291992187500000000e+02
1.373560090702947889e+01,1.291992187500000000e+02
1.373841269841269863e+01,1.291992187500000000e+02
1.374122448979591837e+01,1.291992187500000000e+02
1.374403628117913811e+01,1.291992187500000000e+02
1.374684807256235963e+01,1.291992187500000000e+02
1.374965986394557937e+01,1.291992187500000000e+02
1.375247165532879912e+01,1.291992187500000000e+02
1.375528344671201886e+01,1.291992187500000000e+02
1.375809523809523860e+01,1.291992187500000000e+02
1.376090702947845834e+01,1.291992187500000000e+02
1.376371882086167808e+01,1.291992187500000000e+02
1.376653061224489782e+01,1.291992187500000000e+02
1.376934240362811934e+01,1.291992187500000000e+02
1.377215419501133908e+01,8.613281250000000000e+01
1.377496598639455883e+01,8.613281250000000000e+01
1.377777777777777857e+01,8.613281250000000000e+01
1.378058956916099831e+01,8.613281250000000000e+01
1.378340136054421805e+01,1.291992187500000000e+02
1.378621315192743779e+01,1.291992187500000000e+02
1.378902494331065753e+01,8.613281250000000000e+01
1.379183673469387905e+01,8.613281250000000000e+01
1.379464852607709879e+01,8.613281250000000000e+01
1.379746031746031854e+01,8.613281250000000000e+01
1.380027210884353828e+01,1.291992187500000000e+02
1.380308390022675802e+01,1.722656250000000000e+02
1.380589569160997776e+01,1.722656250000000000e+02
1.380870748299319750e+01,1.722656250000000000e+02
1.381151927437641724e+01,1.291992187500000000e+02
1.381433106575963699e+01,1.291992187500000000e+02
1.381714285714285850e+01,1.291992187500000000e+02
1.381995464852607824e+01,1.291992187500000000e+02
1.382276643990929799e+01,1.291992187500000000e+02
1.382557823129251773e+01,1.291992187500000000e+02
1.382839002267573747e+01,1.291992187500000000e+02
1.383120181405895721e+01,1.291992187500000000e+02
1.383401360544217695e+01,1.722656250000000000e+02
1.383682539682539669e+01,1.722656250000000000e+02
1.383963718820861821e+01,1.722656250000000000e+02
1.384244897959183795e+01,1.722656250000000000e+02
1.384526077097505770e+01,1.722656250000000000e+02
1.384807256235827744e+01,1.722656250000000000e+02
1.385088435374149718e+01,1.722656250000000000e+02
1.385369614512471692e+01,1.722656250000000000e+02
1.385650793650793666e+01,1.722656250000000000e+02
1.385931972789115640e+01,1.722656250000000000e+02
1.386213151927437792e+01,1.722656250000000000e+02
1.386494331065759766e+01,1.291992187500000000e+02
1.386775510204081741e+01,1.291992187500000000e+02
1.387056689342403715e+01,1.291992187500000000e+02
1.387337868480725689e+01,1.291992187500000000e+02
1.387619047619047663e+01,1.291992187500000000e+02
1.387900226757369637e+01,1.722656250000000000e+02
